City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,barclayville,4.6797,-8.2339,24.63,78,86,2.55,LR,1686631993
277,serowe,-22.3833,26.7167,8.09,63,0,3.5,BW,1686631993
278,sur,22.5667,59.5289,34.98,44,95,1.93,OM,1686631994
279,yarmouth,41.7057,-70.2286,18.38,95,100,4.12,US,1686631994
280,lata,40.1629,-8.3327,17.82,97,99,2.05,PT,1686631994
281,nova sintra,14.8667,-24.7167,21.42,83,100,7.81,CV,1686631994
282,nemuro,43.3236,145.575,11.91,96,100,4.98,JP,1686631994
283,cill airne,52.05,-9.5167,15.43,93,87,0.92,IE,1686631995
284,weno,7.4515,151.8468,30.97,79,100,3.09,FM,1686631995
285,san patricio,28.017,-97.5169,28.92,89,64,5.45,US,1686631995
286,lodja,-3.4833,23.4333,20.72,90,57,0.72,CD,1686631996
287,barentu,15.1139,37.5928,23.93,64,99,2.44,ER,1686631996
288,villa rica,33.7321,-84.9191,20.38,96,0,2.71,US,1686631996
289,keflavik,64.0049,-22.5624,6.24,87,0,2.57,IS,1686631996
290,abra pampa,-22.7205,-65.697,1.43,29,0,2.75,AR,1686631996
291,port hedland,-20.3167,118.5667,28.03,17,40,6.69,AU,1686631996
292,santa marta de ortigueira,43.6833,-7.85,16.44,95,100,2.41,ES,1686631996
293,dalby,-27.1833,151.2667,23.1,34,43,4.7,AU,1686631997
294,egilsstadir,65.2653,-14.3948,4.95,87,0,1.03,IS,1686631997
295,itoman,26.1247,127.6694,28.43,94,75,9.77,JP,1686631742
296,syas'stroy,60.1367,32.5691,14.81,56,9,2.32,RU,1686631997
297,tralee,52.2704,-9.7026,15.79,96,95,1.1,IE,1686631997
298,scone,56.4194,-3.4051,13.87,92,58,0.45,GB,1686631997
299,gangneung,37.7556,128.8961,21.31,84,81,1.01,KR,1686631997
300,luena,-11.7833,19.9167,14.1,67,60,2.57,AO,1686631997
301,st. john's,47.5649,-52.7093,8.71,96,100,7.72,CA,1686631834
302,rahimah,26.7079,50.0619,35.12,54,0,3.99,SA,1686631998
303,holdrege,40.4403,-99.3698,16.6,62,0,2.06,US,1686631998
304,uttar char fasson,22.2332,90.7132,31.04,75,70,4.59,BD,1686631998
305,richards bay,-28.783,32.0377,16.02,88,2,1.81,ZA,1686631998
306,tazovsky,67.4667,78.7,2.69,81,99,8.04,RU,1686631998
307,kununurra,-15.7667,128.7333,32.99,22,27,4.63,AU,1686631998
308,woolgoolga,-30.1106,153.2007,20.02,57,72,2.58,AU,1686631998
309,antofagasta,-23.65,-70.4,15.6,81,35,3.8,CL,1686631900
310,babayevo,59.3936,35.9371,16.89,48,10,2.41,RU,1686631999
311,la peca,-5.6111,-78.435,19.39,90,6,1.37,PE,1686631999
312,tulu bolo,8.6667,38.2167,17.07,71,92,1.41,ET,1686631999
313,taoudenni,22.6783,-3.9836,31.51,14,34,4.61,ML,1686631999
314,talakan,50.3167,130.3667,26.81,44,10,3.1,RU,1686631999
315,haiku-pauwela,20.9219,-156.3051,26.01,63,40,9.26,US,1686631825
316,katabu,-4.9333,122.5167,29.22,67,100,1.8,ID,1686631999
317,shiguai,40.7058,110.2856,25.84,18,0,0.97,CN,1686631999
318,luau,-10.7073,22.2247,14.72,47,7,1.86,AO,1686632000
319,otyniya,48.7377,24.8611,9.96,93,94,0.94,UA,1686632000
320,kencong,-8.2833,113.3667,27.98,71,51,3.48,ID,1686632000
